rep,method,total_causal_features,causal_removed,causal_remaining,causal_selected,selection_accuracy,selected_features_original,selected_features_truncated,accepted_sets,accepted_pvals
12,shat,6,1,5,4,0.8,"1,2,3,5,6,7,9,10","0,1,2,4,5,6,8,9","[(0, 1, 2), (0, 3, 5), (0, 5, 7), (0, 3, 5, 10), (0, 5, 7, 10), (2, 3, 4, 5), (1, 2, 3, 4, 5), (2, 3, 4, 5, 6), (1, 2, 3, 4, 5, 6), (0, 2, 4, 5, 6, 8, 9), (0, 1, 2, 4, 5, 6, 8, 9)]","[0.031416460780879035, 0.8154017072696181, 0.06808317157016427, 0.06120541072628801, 0.06999831232204025, 0.056526227309769035, 0.0667795318257803, 0.059789015765352706, 0.06699538661367166, 0.016367178672658904, 0.1668270168468033]"
12,sgreedy,6,1,5,5,1.0,"1,2,3,4,5","0,1,2,3,4","[(0, 1, 2), (0, 1, 2, 4), (0, 1, 2, 3, 4), (0, 1, 2, 3, 4, 7), (0, 1, 2, 3, 4)]","[0.031416460780879035, 0.043172113823462345, 0.1331225501312025, 0.07908560572697408, 0.1331225501312025]"
12,shat,6,2,4,3,0.75,"2,3,5,6,7,9,10","0,1,3,4,5,7,8","[(1, 2, 3, 4), (0, 1, 2, 3, 4), (1, 2, 3, 4, 5), (0, 1, 2, 3, 4, 5), (0, 1, 3, 4, 5, 7, 8)]","[0.056526227309769035, 0.0667795318257803, 0.059789015765352706, 0.06699538661367166, 0.05595111588495136]"
12,sgreedy,6,2,4,3,0.75,"2,3,4,8,11","0,1,2,6,9","[(0, 1, 2, 6, 9)]",[0.0019885569032604597]
12,shat,6,3,3,3,1.0,"3,4,5,6,7","0,1,2,3,4","[(0, 1, 2, 3), (0, 1, 2, 3, 4)]","[0.056526227309769035, 0.059789015765352706]"
12,sgreedy,6,3,3,1,0.3333333333333333,"4,6,7,9,10,11","1,3,4,6,7,8","[(1, 3, 4, 6, 7, 8)]",[0.0019993413514127673]
12,shat,6,4,2,1,0.5,"4,6,7,9,10,11","0,2,3,5,6,7","[(0, 2, 3, 5, 6, 7)]",[]
12,sgreedy,6,4,2,1,0.5,"4,6,7,9,10,11","0,2,3,5,6,7","[(0, 2, 3, 5, 6, 7)]",[0.0019993413514127673]
12,shat,6,5,1,0,0.0,"6,7,9,10,11","1,2,4,5,6","[(1, 2, 4, 5, 6)]",[]
12,sgreedy,6,5,1,0,0.0,"6,7,9,10,11","1,2,4,5,6","[(1, 2, 4, 5, 6)]",[0.0015893109036905278]
